name,branche,telefon,email,adresse,website,hat_website,website_erreichbar,website_alter_jahre,hat_ssl,ladezeit_ms,ist_mobilfreundlich,wayback_datum,google_place_id,google_rating,google_bewertungen,score,score_gruende,gefunden_am,status
Markus Brauner Sanitärtechnik,Klempner,0511 702536,,"Im Moore 24, 30167 Hannover, Deutschland",http://www.brauner-sanitaer.de/,True,True,14,False,3586,True,01.12.2012,ChIJQ8QR7J50sEcRGCmcYhmvQvg,4.8,25,60,Website sehr alt (14 Jahre) (+25) | Kein HTTPS (+10) | Sehr langsam (3586ms) (+10) | Gute Aktivität (25 Bewertungen) (+5) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
HSB GmbH - Heizung Sanitär Bauservice Hannover,Klempner,0511 53079970,,"Kurze Str. 13, 30629 Hannover, Deutschland",http://hsb-gmbh.com/,True,True,21,False,3534,True,30.01.2005,ChIJAQAwxxEMsEcR9FINsSpngQI,5,23,60,Website sehr alt (21 Jahre) (+25) | Kein HTTPS (+10) | Sehr langsam (3534ms) (+10) | Gute Aktivität (23 Bewertungen) (+5) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
"Hottenrott, Inh. Heiko Hottenrott",Klempner,0511 814861,,"Leisewitzstraße 3, 30175 Hannover, Deutschland",http://www.hottenrott.de/,True,True,21,False,975,False,27.01.2005,ChIJ0_vR4lELsEcR0i4Tmal54vU,5,15,60,Website sehr alt (21 Jahre) (+25) | Kein HTTPS (+10) | Nicht mobilfreundlich (+15) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Sedat Özgec Sanitär-Heizung,Installateur,0511 620696,,"Jakobistraße 15, 30163 Hannover, Deutschland",https://sanitaer-oezgec.de/,True,True,13,True,1572,False,12.05.2013,ChIJC9gR-lZzsEcRkgWNOdWsoak,4.6,71,60,Website sehr alt (13 Jahre) (+25) | Nicht mobilfreundlich (+15) | Viele Bewertungen (71) (+10) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Heymeier GmbH & Co. Haustechnik KG,Installateur,0511 33959895,,"Bronsartstraße 4, 30161 Hannover, Deutschland",http://www.heymeier.de/,True,True,22,False,2326,True,28.11.2004,ChIJe9PVF6Z0sEcRqF5YHXGJd84,5,57,60,Website sehr alt (22 Jahre) (+25) | Kein HTTPS (+10) | Langsam (2326ms) (+5) | Viele Bewertungen (57) (+10) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Markus Brauner Sanitärtechnik,Installateur,0511 702536,,"Im Moore 24, 30167 Hannover, Deutschland",http://www.brauner-sanitaer.de/,True,True,14,False,3593,True,01.12.2012,ChIJQ8QR7J50sEcRGCmcYhmvQvg,4.8,25,60,Website sehr alt (14 Jahre) (+25) | Kein HTTPS (+10) | Sehr langsam (3593ms) (+10) | Gute Aktivität (25 Bewertungen) (+5) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Peter Völkel GmbH Sanitär & Heizung in Hannover,Installateur,0511 660724,,"Edenstraße 36, 30161 Hannover, Deutschland",http://www.voelkel-haustechnik.de/,True,True,21,False,4007,True,29.01.2005,ChIJoeVRelZzsEcRRCefqfCaRfU,4.3,61,60,Website sehr alt (21 Jahre) (+25) | Kein HTTPS (+10) | Sehr langsam (4007ms) (+10) | Viele Bewertungen (61) (+10) | Telefon bekannt (+5),2026-05-28,neu
HSB GmbH - Heizung Sanitär Bauservice Hannover,Installateur,0511 53079970,,"Kurze Str. 13, 30629 Hannover, Deutschland",http://hsb-gmbh.com/,True,True,21,False,4476,True,30.01.2005,ChIJAQAwxxEMsEcR9FINsSpngQI,5,23,60,Website sehr alt (21 Jahre) (+25) | Kein HTTPS (+10) | Sehr langsam (4476ms) (+10) | Gute Aktivität (23 Bewertungen) (+5) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
"Hottenrott, Inh. Heiko Hottenrott",Installateur,0511 814861,,"Leisewitzstraße 3, 30175 Hannover, Deutschland",http://www.hottenrott.de/,True,True,21,False,989,False,27.01.2005,ChIJ0_vR4lELsEcR0i4Tmal54vU,5,15,60,Website sehr alt (21 Jahre) (+25) | Kein HTTPS (+10) | Nicht mobilfreundlich (+15) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Meister Ede,Installateur,0511 3940575,,"Goebenstraße 34, 30163 Hannover, Deutschland",http://www.meisterede.com/,True,True,16,False,775,False,30.04.2010,ChIJIepq-tE7ZUER32k4uvciYc0,5,6,60,Website sehr alt (16 Jahre) (+25) | Kein HTTPS (+10) | Nicht mobilfreundlich (+15) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
"Startklar Sanitär, Heizung und Solartechnik OHG",Installateur,0511 60490608,,"Stöckener Str. 29, 30419 Hannover, Deutschland",http://www.startklar-sanitaer.de/,True,True,5,False,4005,False,22.12.2021,ChIJ0YwosoB1sEcRbyjEakfUHcQ,5,8,60,Website veraltet (5 Jahre) (+15) | Kein HTTPS (+10) | Nicht mobilfreundlich (+15) | Sehr langsam (4005ms) (+10) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Span-Dex Designdecken und Malerbetrieb GmbH,Maler,0511 64201936,,"Ringstraße 6, 30457 Hannover, Deutschland",http://www.span-dex.de/,True,True,11,False,3280,True,03.07.2015,ChIJu93QPvxmuEcRudKxIFmYJpc,4.9,39,60,Website sehr alt (11 Jahre) (+25) | Kein HTTPS (+10) | Sehr langsam (3280ms) (+10) | Gute Aktivität (39 Bewertungen) (+5) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Calenberger Fliesen GmbH,Fliesenleger,05108 7643,,"Hermann-Löns-Straße 19A, 30952 Ronnenberg, Deutschland",http://www.calenberger-fliesen.de/,True,True,17,False,8070,True,04.05.2009,ChIJ8-w2id11sEcR16qUBUbo9vQ,4.9,25,60,Website sehr alt (17 Jahre) (+25) | Kein HTTPS (+10) | Sehr langsam (8070ms) (+10) | Gute Aktivität (25 Bewertungen) (+5) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Apel,Fliesenleger,0511 2137322,,"Alfred-Bentz-Straße 8, 30966 Hemmingen, Deutschland",http://www.fliesenapel.de/,True,True,15,False,955,False,15.07.2011,ChIJM18b0AY4ZUERGWMK0ZKtiL8,5,2,60,Website sehr alt (15 Jahre) (+25) | Kein HTTPS (+10) | Nicht mobilfreundlich (+15) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
"Stach Bedachungen Notdienst, Dachinspektionen und Reparaturen Dachdecker Hannover Niedersachsen",Dachdecker,0511 2038168,,"Lichtenradeweg 20, 30179 Hannover, Deutschland",http://www.dachdeckerhannover.de/,True,True,14,False,2910,True,30.04.2012,ChIJfT95SSxzsEcRiplOVk_iUkc,4.9,206,60,Website sehr alt (14 Jahre) (+25) | Kein HTTPS (+10) | Langsam (2910ms) (+5) | Viele Bewertungen (206) (+10) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Grunwald Dachdeckermeister GmbH - Sehnde,Dachdecker,05138 2787,,"Wirringer Str. 20, 31319 Sehnde, Deutschland",http://www.grunwald-dach.de/,True,True,8,False,2487,True,28.12.2018,ChIJ66M7vxYIsEcRHVPSePHrgkA,4.9,85,60,Website sehr alt (8 Jahre) (+25) | Kein HTTPS (+10) | Langsam (2487ms) (+5) | Viele Bewertungen (85) (+10) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Gutjahr Dachtechnik,Dachdecker,0511 98230890,,"Lange Weihe 26, 30880 Laatzen, Deutschland",http://www.gutjahr-dachtechnik.de/,True,True,12,False,1015,False,12.01.2014,ChIJ06DY9QUKsEcRjeq3INCEAYo,4.1,31,60,Website sehr alt (12 Jahre) (+25) | Kein HTTPS (+10) | Nicht mobilfreundlich (+15) | Gute Aktivität (31 Bewertungen) (+5) | Telefon bekannt (+5),2026-05-28,neu
Trümper & Trümper GmbH & Co KG,Dachdecker,0511 784320,,"Soltauer Str. 1, 30855 Langenhagen, Deutschland",http://www.truemper-truemper.de/,True,True,10,False,3476,True,30.01.2016,ChIJgazJalFysEcRs2JXa9ZO8-E,4.5,32,60,Website sehr alt (10 Jahre) (+25) | Kein HTTPS (+10) | Sehr langsam (3476ms) (+10) | Gute Aktivität (32 Bewertungen) (+5) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Helmrich GmbH Innenausbau I Raumplanung³,Schreiner,0511 730660,,"Am Ortfelde 20A, 30916 Hannover, Deutschland",http://helmrichs.de/,True,True,21,False,2099,True,31.01.2005,ChIJV4tYIE8NsEcRtBIylratqy0,4.9,79,60,Website sehr alt (21 Jahre) (+25) | Kein HTTPS (+10) | Langsam (2099ms) (+5) | Viele Bewertungen (79) (+10) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Sedat Özgec Sanitär-Heizung,Heizungsbauer,0511 620696,,"Jakobistraße 15, 30163 Hannover, Deutschland",https://sanitaer-oezgec.de/,True,True,13,True,1617,False,12.05.2013,ChIJC9gR-lZzsEcRkgWNOdWsoak,4.6,71,60,Website sehr alt (13 Jahre) (+25) | Nicht mobilfreundlich (+15) | Viele Bewertungen (71) (+10) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Heymeier GmbH & Co. Haustechnik KG,Heizungsbauer,0511 33959895,,"Bronsartstraße 4, 30161 Hannover, Deutschland",http://www.heymeier.de/,True,True,22,False,2541,True,28.11.2004,ChIJe9PVF6Z0sEcRqF5YHXGJd84,5,57,60,Website sehr alt (22 Jahre) (+25) | Kein HTTPS (+10) | Langsam (2541ms) (+5) | Viele Bewertungen (57) (+10) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Markus Brauner Sanitärtechnik,Heizungsbauer,0511 702536,,"Im Moore 24, 30167 Hannover, Deutschland",http://www.brauner-sanitaer.de/,True,True,14,False,4504,True,01.12.2012,ChIJQ8QR7J50sEcRGCmcYhmvQvg,4.8,25,60,Website sehr alt (14 Jahre) (+25) | Kein HTTPS (+10) | Sehr langsam (4504ms) (+10) | Gute Aktivität (25 Bewertungen) (+5) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Peter Völkel GmbH Sanitär & Heizung in Hannover,Heizungsbauer,0511 660724,,"Edenstraße 36, 30161 Hannover, Deutschland",http://www.voelkel-haustechnik.de/,True,True,21,False,6320,True,29.01.2005,ChIJoeVRelZzsEcRRCefqfCaRfU,4.3,61,60,Website sehr alt (21 Jahre) (+25) | Kein HTTPS (+10) | Sehr langsam (6320ms) (+10) | Viele Bewertungen (61) (+10) | Telefon bekannt (+5),2026-05-28,neu
Andreas Kreth / Sanitär & Heizung,Heizungsbauer,0511 231616,,"Pfarrstraße 64, 30459 Hannover, Deutschland",http://www.kreth-hannover.de/,True,True,15,False,4547,True,07.06.2011,ChIJ5_LJKdh0sEcRLREysA_jPsY,5,20,60,Website sehr alt (15 Jahre) (+25) | Kein HTTPS (+10) | Sehr langsam (4547ms) (+10) | Gute Aktivität (20 Bewertungen) (+5) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
HSB GmbH - Heizung Sanitär Bauservice Hannover,Heizungsbauer,0511 53079970,,"Kurze Str. 13, 30629 Hannover, Deutschland",http://hsb-gmbh.com/,True,True,21,False,4235,True,30.01.2005,ChIJAQAwxxEMsEcR9FINsSpngQI,5,23,60,Website sehr alt (21 Jahre) (+25) | Kein HTTPS (+10) | Sehr langsam (4235ms) (+10) | Gute Aktivität (23 Bewertungen) (+5) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
HSB GmbH - Heizung Sanitär Bauservice Hannover,Sanitär,0511 53079970,,"Kurze Str. 13, 30629 Hannover, Deutschland",http://hsb-gmbh.com/,True,True,21,False,3291,True,30.01.2005,ChIJAQAwxxEMsEcR9FINsSpngQI,5,23,60,Website sehr alt (21 Jahre) (+25) | Kein HTTPS (+10) | Sehr langsam (3291ms) (+10) | Gute Aktivität (23 Bewertungen) (+5) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Alragheb trockenbau GmbH,Trockenbau,0172 8177639,,"Sollingstraße 18, 30419 Hannover, Deutschland",,False,False,,False,,,,ChIJ2SdM7SpzsEcRN7Zuyw3SgdQ,5,56,60,Keine Website gefunden (+40) | Viele Bewertungen (56) (+10) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Elektrotechnik Günther GmbH,Elektriker,0511 16996950,,"Ziegelstraße 3d, 30453 Hannover, Deutschland",http://www.elektrotechnik-guenther.de/,True,True,13,False,3613,True,13.05.2013,ChIJOdYprpR0sEcRx2MN7pQbe74,4.4,30,55,Website sehr alt (13 Jahre) (+25) | Kein HTTPS (+10) | Sehr langsam (3613ms) (+10) | Gute Aktivität (30 Bewertungen) (+5) | Telefon bekannt (+5),2026-05-28,neu
ELPRO Elektroanlagen Behncke GmbH,Elektriker,0511 167980,,"Kornstraße 14, 30167 Hannover, Deutschland",http://www.elpro-hannover.de/,True,True,21,False,3262,True,26.01.2005,ChIJUVyCf590sEcRANMAEDUHMKk,4.9,13,55,Website sehr alt (21 Jahre) (+25) | Kein HTTPS (+10) | Sehr langsam (3262ms) (+10) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
J-F-Elektrotechnik GmbH,Elektriker,0511 6968346,,"Schmöckwitzweg 3, 30179 Hannover, Deutschland",http://www.j-f-elektrotechnik.de/,True,True,18,False,4799,True,02.12.2008,ChIJR3nWy3MNsEcRzuakZVr0kVg,5,3,55,Website sehr alt (18 Jahre) (+25) | Kein HTTPS (+10) | Sehr langsam (4799ms) (+10) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Elektrotechnik SASS,Elektriker,0511 830383,,"Abbestraße 17, 30519 Hannover, Deutschland",http://www.elektrotechnik-sass.de/,True,True,15,False,3329,True,11.06.2011,ChIJT1Bmux8LsEcRBJWWZDPgN7k,5,7,55,Website sehr alt (15 Jahre) (+25) | Kein HTTPS (+10) | Sehr langsam (3329ms) (+10) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
GTM Dobrinski GmbH,Klempner,0511 2792760,,"Geibelstraße 2, 30173 Hannover, Deutschland",http://www.gtm-dobrinski.de/,True,True,16,False,1467,True,06.04.2010,ChIJcTtJezYLsEcRICXv8gMvQu4,4.6,51,55,Website sehr alt (16 Jahre) (+25) | Kein HTTPS (+10) | Viele Bewertungen (51) (+10) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Hildebrandt Heizung Sanitär GmbH,Klempner,0511 841868,,"Reichhelmstraße 2, 30519 Hannover, Deutschland",http://www.hildebrandt-gmbh.de/,True,True,26,False,2400,True,22.06.2000,ChIJi3AOst4KsEcRnpcoMXKmSzU,4.5,21,55,Website sehr alt (26 Jahre) (+25) | Kein HTTPS (+10) | Langsam (2400ms) (+5) | Gute Aktivität (21 Bewertungen) (+5) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Lappe-GmbH Klempner Heizung Sofortdienst,Klempner,05109 5630703,,"Hauptstraße 82, 30457 Hannover, Deutschland",,False,False,,False,,,,ChIJ1b7Z8w11sEcRdVW_Y6SlNqk,4.6,21,55,Keine Website gefunden (+40) | Gute Aktivität (21 Bewertungen) (+5) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Schwichtenberg GmbH,Klempner,0511 734508,,"Markgrafstraße 17, 30419 Hannover, Deutschland",http://www.schwichtenberg-gmbh.de/,True,True,21,False,2044,True,24.01.2005,ChIJV_a2tYlzsEcRX_9ABUyMMsU,4.5,26,55,Website sehr alt (21 Jahre) (+25) | Kein HTTPS (+10) | Langsam (2044ms) (+5) | Gute Aktivität (26 Bewertungen) (+5) | Sehr gute Bewertung (+5) | Telefon bekannt (+5),2026-05-28,neu
Hagemann & Sohn,Klempner,0511 621811,,"Steinmetzstraße 9, 30163 Hannover, Deutschland",http://www.shk-hagemann.de/,True,True,21,False,3103,True,08.02.2005,ChIJS0j_eVpzsEcRNBOxKMHyRUY,4.1,25,55,Website sehr alt (21 Jahre) (+25) | Kein HTTPS (+10) | Sehr langsam (3103ms) (+10) | Gute Aktivität (25 Bewertungen) (+5) | Telefon bekannt (+5),2026-05-28,neu
